"","id","cluster"
"1","CDH3","1"
"2","PTPRU","1"
"3","MPZL2","1"
"4","PAK4","1"
"5","BAIAP2","1"
"6","AGR2","1"
"7","SPINT2","1"
"8","HPSE","1"
"9","RAB10","1"
"10","PKP3","1"
"11","CLDN4","1"
"12","CLDN3","1"
"13","CLDN7","1"
"14","PLEKHA7","1"
"15","CXADR","1"
"16","DLG3","1"
"17","DSC2","1"
"18","DSG2","1"
"19","DSP","1"
"20","EFNA1","1"
"21","EFNB2","1"
"22","EMP2","1"
"23","EPHA1","1"
"24","EPHB3","1"
"25","EPHB4","1"
"26","ERBB2","1"
"27","ERBB3","1"
"28","FOLR1","1"
"29","CD2AP","1"
"30","TRIM29","1"
"31","FUT1","1"
"32","NPNT","1"
"33","LYPD3","1"
"34","TNFRSF21","1"
"35","ANK3","1"
"36","RHOD","1"
"37","FOXA1","1"
"38","HES1","1"
"39","IL18","1"
"40","ITGA6","1"
"41","ITGB4","1"
"42","JAG2","1"
"43","JUP","1"
"44","LAMA5","1"
"45","LAMB3","1"
"46","LAMC2","1"
"47","BCAM","1"
"48","TACSTD2","1"
"49","EPCAM","1"
"50","CD46","1"
"51","NRARP","1"
"52","ASS1","1"
"53","MUC1","1"
"54","CEACAM6","1"
"55","ATP1B1","1"
"56","MINK1","1"
"57","F11R","1"
"58","PKP2","1"
"59","PLXNB1","1"
"60","EPB41L4B","1"
"61","VSIG10","1"
"62","FERMT1","1"
"63","PRKCZ","1"
"64","BAIAP2L1","1"
"65","CCL28","1"
"66","PSEN1","1"
"67","IGSF9","1"
"68","EPB41L5","1"
"69","PTPRF","1"
"70","CEACAM1","1"
"71","PERP","1"
"72","SOX9","1"
"73","STX3","1"
"74","EZR","1"
"75","WNT7B","1"
"76","DDR1","1"
"77","GRHL2","1"
"78","ANXA9","1"
"79","PPFIA1","1"
"80","PKP4","1"
"81","ADAM15","1"
"82","CLDN1","1"
"83","CD9","1"
"84","KLF4","1"
"85","TJP2","1"
"86","SOX13","1"
"87","SLK","1"
"88","DGCR2","1"
"89","CDH1","1"
