"","id","cluster"
"1","SH2B3","1"
"2","CDK6","1"
"3","BTN2A2","1"
"4","ENG","1"
"5","ETS1","1"
"6","SWAP70","1"
"7","SRGAP2","1"
"8","MACF1","1"
"9","PARVB","1"
"10","HLA-DPA1","1"
"11","HLX","1"
"12","JAK1","1"
"13","JAK2","1"
"14","RHOA","1"
"15","MSN","1"
"16","PRKCE","1"
"17","PAG1","1"
"18","PLEKHA2","1"
"19","ACTB","1"
"20","RSU1","1"
"21","STK10","1"
"22","TGFB1","1"
"23","TLN1","1"
"24","MAD1L1","1"
"25","EMILIN2","1"
"26","UBASH3B","1"
"27","AP3B1","1"
"28","LPXN","1"
"29","MAP4K4","1"
"30","PPM1F","1"
"31","CD70","1"
"32","GPC6","2"
"33","CDH11","2"
"34","COL6A3","2"
"35","VCAN","2"
"36","EFNB3","2"
"37","NLGN1","2"
"38","KIFAP3","2"
"39","OBSL1","2"
"40","SPECC1L","2"
"41","CADM1","2"
"42","FYN","2"
"43","PCDHB5","2"
"44","ANGPT1","2"
"45","APLP1","2"
"46","MCAM","2"
"47","MYH10","2"
"48","NID1","2"
"49","DDR2","2"
"50","PCDH9","2"
"51","MAPK7","2"
"52","PCDHB14","2"
"53","PCDHB10","2"
"54","PCDHB2","2"
"55","PTN","2"
"56","PCDHB16","2"
"57","PTPRS","2"
"58","ROBO1","2"
"59","ELMO2","2"
"60","ROBO3","2"
"61","SFRP1","2"
"62","STXBP1","2"
"63","THY1","2"
"64","FAT4","2"
"65","PEAK1","2"
"66","TMEM47","2"
"67","CD99L2","2"
"68","JAM3","2"
"69","LOXL3","2"
"70","CNTNAP1","2"
"71","ADAM23","2"
"72","FEZ1","2"
"73","GNE","Removed"
"74","PLXND1","Removed"
"75","PIP5K1C","Removed"
"76","ABL1","Removed"
"77","INPPL1","Removed"
"78","TMEM8B","Removed"
"79","PRKAR1A","Removed"
"80","ZMIZ1","Removed"
"81","ACTG1","Removed"
"82","TSC1","Removed"
"83","CD81","Removed"
"84","CITED2","Removed"
"85","SPON2","Removed"
"86","CYLD","Removed"
"87","TOR1A","Removed"
"88","FLCN","Removed"
"89","FER","Removed"
"90","NID2","Removed"
"91","FNDC3A","Removed"
"92","APC","Removed"
"93","PPP1R12A","Removed"
"94","ZDHHC2","Removed"
"95","UTRN","Removed"
"96","CALR","Removed"
"97","ITGA10","Removed"
"98","MALT1","Removed"
"99","IL7","Removed"
"100","LIMS1","Removed"
"101","EPDR1","Removed"
"102","SPP1","Removed"
"103","DNAJB6","Removed"
"104","CDK5","Removed"
"105","CGREF1","Removed"
"106","STXBP6","Removed"
"107","HOXA7","Removed"
"108","ITGAE","Removed"
"109","KIT","Removed"
"110","ARHGDIA","Removed"
"111","NEO1","Removed"
"112","RC3H2","Removed"
"113","RELN","Removed"
"114","GPAM","Removed"
"115","BMP6","Removed"
"116","THBS3","Removed"
"117","NCK2","Removed"
"118","AP3D1","Removed"
"119","FIBP","Removed"
"120","ITGB1BP1","Removed"
"121","NRXN3","Removed"
