,GO_0001837_3,GO_0001944_1,GO_0001944_2,GO_0001944_4,GO_0001944_6,GO_0001944_9,GO_0006091_1,GO_0006091_3,GO_0006091_4,GO_0006091_6,GO_0006355_3,GO_0006355_4,GO_0006355_9,GO_0006355_10,GO_0006355_14,GO_0006355_22,GO_0006355_23,GO_0006355_24,GO_0006396_4,GO_0006396_8,GO_0006396_9,GO_0006412_1,GO_0006412_3,GO_0001816_1,GO_0001816_2,GO_0001816_3,GO_0001816_4,GO_0001816_5,GO_0001816_8,GO_0006954_3,GO_0006954_6,GO_0006954_9,GO_0006954_10,GO_0006955_1,GO_0006955_2,GO_0006955_4,GO_0006955_6,GO_0006955_8,GO_0006955_9,GO_0006955_10,GO_0006955_11,GO_0006955_15,GO_0007049_1,GO_0007049_7,GO_0007049_10,GO_0007049_14,GO_0007049_17,GO_0007049_18,GO_0007049_19,GO_0007049_20,GO_0007155_1,GO_0007155_2,GO_0007155_3,GO_0007155_6,GO_0007155_9,GO_0007155_10,GO_0007165_1,GO_0007165_2,GO_0007165_9,GO_0007165_10,GO_0007165_11,GO_0007165_26,GO_0007165_30,GO_0007165_31,GO_0007165_35,GO_0007165_42,GO_0009451_1,GO_0009605_1,GO_0009605_4,GO_0009605_7,GO_0009605_8,GO_0009605_9,GO_0009605_11,GO_0009605_12,GO_0009605_17,GO_0009605_18,GO_0009605_19,GO_0009605_20,GO_0009605_21,GO_0009605_22,GO_0012501_1,GO_0012501_4,GO_0012501_5,GO_0012501_6,GO_0012501_7,GO_0012501_8,GO_0012501_9,GO_0012501_10,GO_0012501_12,GO_0012501_16,GO_0012501_17,GO_0012501_19,GO_0012501_25,GO_0012501_26,GO_0031399_1,GO_0031399_2,GO_0031399_3,GO_0031399_5,GO_0031399_9,GO_0031399_10,GO_0031399_21,GO_0031399_22,GO_0031399_23,GO_0032200_4,GO_0033554_1,GO_0033554_2,GO_0033554_3,GO_0033554_4,GO_0033554_6,GO_0033554_8,GO_0033554_9,GO_0033554_10,GO_0033554_14,GO_0033554_15,GO_0033554_16,GO_0033554_17,GO_0033554_18,GO_0033554_19,GO_0033554_20,GO_0033554_22,GO_0033554_24,GO_0033554_25,GO_0044255_1,GO_0044255_2,GO_0044255_4,GO_0044255_9,GO_0044255_10,GO_0044255_11,GO_0044255_12,GO_0044255_13,GO_0048870_1,GO_0048870_2,GO_0048870_3,GO_0048870_5,GO_0048870_6,GO_0048870_8,GO_0048870_13,GO_0048870_14,GO_0048870_15,GO_0048870_20,GO_0048870_22,GO_0048870_23,GO_0051276_2,GO_0051276_3,GO_0051276_5,GO_0051276_8,GO_0051276_9,GO_0051276_10,GO_0051276_11
HS944T_SKIN--malignant_melanoma,2.34605151764706,2.04100328582449,0.91515895458052,0.552453759305689,1.2459461168756,1.72475843510125,1.40183545477338,1.09441043471553,0.906172272324012,1.88494805593057,0.911786058052074,1.64196359701061,1.36634017955641,0.309887812246866,1.67706746730955,1.29668289199614,0.767411660462873,1.73618150395371,1.53658031398264,0.97638500144648,1.69277213288332,1.03360824329798,1.66024041793635,1.3842142852459,2.14334371841851,1.80646039884282,2.02890843500482,1.41038403085824,0.64074195737705,0.669423135004823,0.889700671648988,1.54916411783992,1.99302098784957,1.00948722160077,1.03407710221794,0.734283965380906,0.536697343490839,1.7862203292189,1.95319129315333,1.34357376046287,1.58749184975892,2.3354713903568,1.69726618630665,1.36950860771456,1.14498974725169,1.18065282237223,0.635418529411765,0.649974771648986,1.89419339874638,1.07413695506268,2.1236638292189,0.737789092189007,1.2627437611379,2.25002599710704,1.29973587926712,0.716962853423335,1.36932037396336,0.957091112054003,1.46501938919961,1.91119744300868,0.536191113018322,1.27990695371263,0.860058501157185,1.84841951128255,0.764185274059788,0.26174056316297,1.07262896663452,1.31578570896818,0.442032814464803,0.991700951783992,1.48040315756991,0.820631042815815,1.31616406730955,1.25826273828351,2.08630310568949,1.14633997666345,1.19603346422372,1.89700264725169,1.05104054059788,0.841369227965284,1.59701718244937,1.5598465659595,1.66520055776278,2.47868475805207,0.858792171648989,1.30815868447445,0.699735803278687,0.299813981485052,0.588120390549663,1.14896673124397,0.674506846287368,1.89002271436837,1.02138195776278,0.530980222275795,0.557676755737705,0.52576526653809,0.491953061523626,0.959786943297976,1.03801465525554,1.72055665805207,1.67284640057859,1.95699690877531,0.448777968177435,1.20634259691417,1.3747497608486,1.42459934773385,1.52929666345227,1.57833479054966,1.68946243654773,1.56258339344262,0.770799634233365,0.742908395949855,1.2521358048216,1.26262875371263,0.819021036258437,0.444475625458053,0.630036649373193,0.977840677917069,1.2391805292189,0.971193407618129,1.09542325168756,2.44830122082932,1.36497766055931,1.24375461089682,0.299406158534234,0.596960089681775,1.43350900086789,1.70166989961427,0.88802935834137,1.12197312613308,2.47359944628737,1.83041845130183,1.66168980636451,1.15431820655738,1.66407986162006,2.02387176364513,1.14721077926712,0.854661608871745,0.538640966827387,1.79082186538091,0.461797471263259,2.65403292111861,1.90916445612343,1.5939083539055,0.780146144648024,0.612416718418515,1.27349028813886,1.00738659614272,1.12061370819672
MELHO_SKIN--malignant_melanoma,1.42422045641273,1.3859180707811,0.852517629604628,0.664151501832208,0.765716164127291,1.3840963512054,1.61483646538091,1.18254020135005,1.13136766673095,1.67116205593057,0.748807971263259,1.30167417656702,1.07553657492768,0.525204874445516,1.30716700106075,1.1628769807136,0.83292519855352,1.05614284628737,1.18438094464802,0.942040482160076,1.13744413577628,0.982485489681775,1.74395934513018,1.40811982815815,1.13472890549663,1.48557263027965,1.37181968813886,1.17538655930569,0.716026879749276,0.866634898746385,0.826059697203472,0.914797373384764,1.12574810549663,0.672666662295082,0.921141575699133,0.815916085438765,0.377696210414658,1.31712744108004,1.35676353616201,0.986907964898746,1.34228473982642,1.33072202777242,1.28699766171649,1.47484701080038,1.29239301726133,1.11125545834137,0.94980131436837,0.595639622661523,1.57747177242044,0.965444154194793,1.45316388948891,0.712818162102218,1.41246761938283,1.9298123876567,0.260306428929604,0.500596033751205,1.15011782333655,1.21690021812922,1.17654703625844,1.33242953365477,0.678441443780134,1.35676956894889,0.890510563837994,1.33946401658631,0.552607398457088,0.322376253134041,1.06099232729026,1.1959950783028,0.532351911861138,0.532147581485052,1.09644949315333,0.706741480135005,1.23383987155256,1.37178163220829,1.61882068428158,1.20037126017358,1.13118674869817,0.784548320347156,0.808379260462874,0.859204533654774,1.5358583704918,1.12404138948891,0.889433964223722,1.84757225371263,0.873846736740598,1.23393546268081,0.997976610414657,0.618446864320154,0.628151343297975,1.40438921918997,0.909386443683704,2.14267326981678,0.662322589392479,0.404890104628737,0.392217664609451,0.769928509546768,0.650169058148505,1.1037347051109,0.975626635486981,1.53968139479267,1.36949480559306,1.26968927473481,0.279483300867888,1.10458526952748,0.768123340405014,1.2051718906461,1.18762906171649,1.2948342804243,0.958468906171649,2.09826339344262,1.10165421137898,0.744299816393442,1.30216704108004,0.989134066152362,0.360829098939248,0.522870535776278,0.926488040887175,0.719653722275795,1.11569404898746,1.0173498246866,1.05016380279653,1.94171971648987,1.24991474252652,1.24247196094503,0.283864008100289,0.686230975891996,1.374606956027,1.32091284946962,1.17462244416586,1.64885634696239,1.94366180597878,1.61277480424301,1.38998493944069,0.964978206557377,1.55612455448409,2.0981149391514,0.86605905168756,0.960984330183221,0.542092123529412,0.944906405400192,0.275735077820636,1.88798196258438,0.994543834136932,1.45410582449373,0.972923518804243,0.64712231340405,1.08973647135969,0.966420389778206,1.06752330414658
HT144_SKIN--malignant_melanoma,2.40064360106075,2.27085968119576,0.901625480135004,0.661453876952748,1.19116045101254,1.66851964532305,1.5665536707811,1.02517785226615,0.969418985920925,2.07462319286403,0.744741349758921,1.23080447743491,0.910605374349083,0.449793206653809,1.64983779566056,1.1901089807136,0.840101792574735,1.55127276142719,1.21330510761813,0.966942961909354,1.53020358611379,0.966400468948892,1.74642584657666,1.29019867097397,1.81924309353905,1.78695501890068,1.47664826914175,1.17731835053038,0.717014791996142,0.806397570877532,0.727107727097397,1.20398203780135,1.98879166480231,0.632863751494697,0.936852059787851,0.639065295660559,0.0649795431051108,1.40136212671167,1.57475479170685,1.0988132686596,1.20618781697203,2.22473799884282,1.36769302430087,1.17426460771456,1.42910791986499,1.05383661793635,0.802903411764705,0.687016721504339,1.9850175192864,0.863887788717455,2.23170006451302,0.667808146673096,1.29351311263259,1.97602557087753,1.70519782719383,0.481150799421407,1.36893213288332,1.35958538977821,1.0911455897782,1.37778482584378,0.675088199807135,1.15984529122469,0.764620481388621,1.84047819305689,0.483982861330763,0.106489355351977,1.09464229450337,1.36067979479267,0.575225342912247,1.10504469141755,1.09831517492768,0.763012004243009,1.06925390819672,1.42693958640309,2.08539891282546,0.815244280424301,1.21212209633558,1.30515688640309,0.954742069527483,0.754230867309546,1.49461234590164,1.62582557849566,1.24784588273867,2.36418769826422,0.773035182256508,1.19933521967213,0.943624162970105,0.75656546509161,0.555940354869818,1.10810686287367,0.618250101350049,2.14070916374156,0.977625771648989,0.595565495660558,0.543818013211187,0.625653014850529,0.378344934233366,0.981476650144648,0.946192014464803,2.12686996181292,1.18759420289296,1.84226527859209,0.470917933944069,1.15468680665381,1.37852773288332,1.09291867222758,1.32964230568949,1.3439662756027,1.62775962989392,2.04446489296046,1.23753110337512,1.09925791186114,1.11890484435873,1.12170958784957,0.555355915718418,0.542164637994214,0.852731057280618,0.68693868707811,1.08867444339441,1.16768213134041,0.996278321600772,2.54178835486982,1.11990771841851,1.25287627820637,0.206698395756991,0.629970785920925,1.53326932150434,1.62398825207329,1.00143478649952,1.35009834696239,3.1991941463838,1.98969710703954,1.78715205323047,0.931029206557377,1.46332842526519,1.98863267782064,0.946692197299904,0.922701317647059,0.310285470202507,1.2924945539055,0.285130283702989,2.7729975903568,1.58467732883317,1.33149514705882,1.2879617608486,0.699833026036644,1.27312828813886,1.13120799585342,1.07771284705882
SH4_SKIN--malignant_melanoma,2.18954445544841,1.80213528582449,0.933594985920926,0.884300227965285,1.01042900597878,0.967324431243973,1.66961811436837,0.997990587078109,1.05783766673095,2.16542096046287,0.517669933172614,1.0001044364513,0.894102084088716,0.465297733172613,1.64329138100289,0.986679194792671,0.870681739054966,1.42408350395371,1.04679970935391,0.849499032786885,1.31056400462874,0.877022596721312,1.72139309392478,1.27734860347155,1.69446993442623,1.62818000250723,1.74124658109932,1.07012488717454,0.905827787174542,0.838666315332691,1.06403207521697,1.46321882082932,1.75391294831244,0.661425674831244,0.869943994214079,0.856355070973963,0.713202762970106,1.35992762140791,1.72717797299904,1.32953546923819,1.03134946017358,1.74769975583414,0.919576455351977,1.33897823066538,1.3126484246866,0.855953012343297,1.18149120540019,0.830577241272901,2.0905002487946,0.955208907328833,1.88163540443587,0.673089491417551,1.01068319411765,2.07468357087753,1.42911711552555,0.270570295081966,1.27046115699132,1.44249319980714,0.922393432594021,1.50484302352941,1.07011345438766,1.14626328447445,0.833235816972035,1.65275096547734,0.657245226808101,0.16313843442623,0.995923517261331,1.30392277743491,1.03421127251688,1.04155853037608,1.01385341600771,0.875501976759885,0.897666193153325,1.49790948852459,1.95276775178399,1.1888836584378,1.51279911947927,1.33851546403086,0.793654294696239,0.819163091996143,1.4120204900675,1.41342873857281,1.51954436104147,2.28380993693346,0.797032891996144,1.14295078958534,0.99537718997107,1.02520569508197,0.460058701060753,1.40132395448409,0.887818140887175,1.93869981851495,1.04436912459016,0.644901993731918,0.781585081677916,0.852258146962391,0.580320176759885,1.29407117184185,0.859990734329798,2.15671844493732,1.04898918360656,1.75640486489875,0.481331045805207,0.904311865959499,1.38880460366442,1.05047470356799,0.995245933461909,1.36093803066538,1.42369274561234,2.27692498746384,1.43593256914175,1.67572467367406,1.2200295608486,1.28834997839923,0.503380972131147,0.668069613886211,1.14524818939248,1.24177552748312,0.85837652343298,1.05452093606557,0.90277856364513,2.59210345612343,1.14651406846673,1.74956953905497,0.0163678084860175,0.851986461427193,1.43290402979749,1.69884001918997,1.20552237955641,1.53538277608486,2.60704461697203,1.92775010703954,1.7463488246866,0.760020525747347,1.69200394599807,2.07617089913211,0.819491400771456,0.977754285824494,0.423569268659595,1.22164716239151,0.248697007425264,2.1795627195757,1.78808320877531,0.992764642719382,1.19010766923819,0.936179330761812,0.934485111668273,0.900934959209257,0.838902748698168
G361_SKIN--malignant_melanoma,1.84360482767599,1.65891661658631,1.0854858533269,0.620614449758921,0.857211872902604,1.30243695776278,1.93760340559306,1.20704394387657,0.979824872131147,1.36142323529412,0.611352743683704,1.36885576046287,0.945146140983606,0.482856895178399,1.36097672622951,1.44956090163934,0.937585190356798,1.24253979421408,1.35662678264224,1.11872959980714,1.06479685419479,1.02475708948891,1.87520441600771,0.97241314927676,1.23376524975892,1.80623927926712,1.44078798225651,1.24444948891032,0.773533043683703,0.814685447444553,0.676562118611379,1.14731386711668,1.29745443529412,0.607538089971071,1.10242299228544,0.612999186692382,0.395683807328833,1.4583938171649,1.33504038476374,1.1867874075217,1.42439540424301,1.31363080308582,1.34901480057859,1.27277777839923,1.33102212430087,1.18734960588235,1.05004451880424,0.593636662198649,1.61624694937319,1.08890163683703,1.58713066769527,0.627882063259402,1.1897282611379,1.65295943105111,0.793060294889103,0.441751295081967,1.31454763047252,1.2946564707811,1.15473260617165,1.24083760019286,0.88807166653809,1.45787266055931,0.93421260289296,1.54140364243009,0.469211879170685,0.269526992285439,1.32668398977821,1.18472578707811,0.462809742140791,0.798449951783992,0.903506013886211,1.05085086200579,1.25813091783992,1.46747872189007,1.66484001118611,0.922617859498554,1.31177518891032,0.772080374349084,0.760329404628737,0.841873541369335,1.5777763536162,1.30649466383799,1.0177084704918,1.81870853240116,0.963468566055931,1.31658345303761,0.965777054001929,0.924018169527483,0.568183582449374,1.33201971485053,0.785671969238188,1.91432090916104,1.32330795776278,0.420535992285438,0.591056110125361,0.859918509546767,0.544111249083896,1.31881507540984,1.02182967020251,1.59271081330762,1.1239572289296,1.50472275737705,0.244180492285439,1.25905733847637,1.32414323047252,1.40511477058824,1.56308906171649,1.16462569315333,1.17018962989392,2.16439445323047,1.32663608939248,1.1931737855352,1.1694607807136,0.98871792632594,0.429577792285438,0.506866535776278,0.834152207714562,1.04315673095468,1.20398225342334,1.25963763712633,1.0915474045323,2.03783431726133,1.21808095371263,1.18635727627772,-0.0558900642237221,0.909145214561234,1.36889920048216,1.34125848351013,1.09633812786885,1.60762934696239,1.88480601330762,1.79156690646094,1.58216205323047,1.16228382565092,1.92801472420444,1.77407683452266,0.711092213693346,0.968410101639345,0.436204055544841,0.970289222179363,0.266442191128254,2.03469011398264,1.3339353587271,1.47255417695275,0.995376426229508,0.701317862102217,1.22931347135969,1.01493634204436,1.18096003027965
COLO679_SKIN--malignant_melanoma,1.37159191157184,1.29342710549663,0.815281331629701,0.706745449758921,0.898065259594985,1.39794410337512,1.4065214653809,1.23830390048216,0.999008684088717,1.50826319286403,0.510343497782064,1.17825887087753,0.739824374349084,0.253959897107039,1.73771846779171,1.24856439633558,0.795149471456124,1.17675910858245,1.1001551731919,0.933258405496625,1.39116523413693,0.940740689778207,1.7449618075217,0.769925504146577,1.41075609353905,1.57312333134041,0.859206472131147,1.04124168659595,0.749574006075217,0.718003672131148,0.881451054001928,0.748299984763742,1.30697026750241,0.637129437126326,0.952088169720347,0.633842693924783,0.145429264416586,1.33582500617165,1.11200154773385,1.22979636509161,1.22580540424301,1.79212481369335,1.22953774271938,1.11485864146577,1.18087853172613,0.992655448216007,1.03424641176471,0.695961794792671,1.58978924108004,0.970259161909355,1.52912055294118,0.574847055544841,1.03253679103182,1.79911670588235,1.24470170858245,0.294646337512053,1.37721433249759,1.35703094329798,1.09062773346191,1.04428377859209,0.71793766653809,1.45094164898746,0.832200358919961,1.45201779286403,0.439245985245902,0.259616740115719,1.1537417216972,1.27623740617165,0.681996103760849,0.711684158148506,0.711566467116683,0.938449627675988,1.11300880501446,1.42466176480231,1.64509513365477,1.28161268013501,1.02415103269045,0.832270333847638,0.729361648119576,0.780604581870781,1.41346512217936,1.13916953317261,0.849992529315333,1.95139357724204,0.815658564127291,1.18062570665381,1.17456731195757,0.73620440337512,0.490565577627773,1.10486630742527,0.724338240212151,1.84327271340405,1.316546624108,0.48322687753134,0.355690810703954,0.75557401485053,0.415179996432015,1.30250965014465,0.921102980231437,1.7488175828351,1.14840245554484,1.48666631861138,0.309470107039537,1.13092884136934,1.0308833876567,1.1670214171649,1.1645424686596,1.11103718206365,0.860972252844744,1.84400286981678,0.986159328061716,1.0319511587271,1.2896376707811,1.03768689932498,0.397130320732883,0.441360178013501,0.88489239286403,0.801435132594021,1.13073799594986,0.933285248987465,0.958520471552556,2.08751774252652,1.33975507328833,1.82448384956605,0.25064351436837,0.820901290742527,1.42009331282546,1.51729676268081,1.19922286171649,1.22848275294118,2.24719897280617,1.52682257087753,1.49506876779171,0.947436825650915,1.79273761571842,1.79479554715526,0.576645505882352,0.831723961812922,0.530911159691418,0.70662838322083,0.132308894599807,1.9766784756027,1.21584868322083,1.18665326470588,0.885539669238187,0.750241708775314,1.02185772208293,0.967319441369334,1.02460237647059
A375_SKIN--malignant_melanoma,1.78882987107039,1.78881579016393,0.99226557753134,0.825966482545806,1.25084737338476,1.34282221812922,1.61152674696239,1.23858130935391,0.959408123818708,1.73898262102218,0.911822192092575,1.62342977926712,0.984121599035679,0.501753183027965,1.46532197936355,1.39432612632594,0.997444229893924,1.50421523105111,1.61892148177435,1.2518093948891,1.39377400462874,1.20504335419479,1.58613122073288,0.925701812729028,1.65910995081967,1.55721406904532,1.23928885207329,1.46509722757956,0.877037259691418,0.978408032786885,1.10077829604629,0.992051028158149,1.65790152111861,0.679640249083896,1.14111854098361,0.797673693924783,0.788996343490839,1.39657214696239,1.38775543394407,1.28742065535198,1.51419252671167,1.76805360250723,1.58933418630665,0.99848023066538,1.33776317974928,1.27740973992285,0.97520731436837,0.885230296239151,1.757139731919,1.2877627144648,1.82938362237223,0.678092638476375,1.40024377270974,1.95339480424301,2.07343109913211,0.630871641272903,1.23918994773385,1.18051103876567,1.48906436316297,1.24558905824494,0.721068375313403,1.49429825458052,1.01539389218901,1.65330482082932,0.585031272613308,0.319244967213115,1.3849040948891,1.24464031166827,0.587269040115718,1.1537184975892,1.07929364358727,0.860301329218901,1.39819031321119,1.51528275805207,1.84992839016393,1.43998876740598,1.1852936951784,1.24394334831244,0.911996529990357,1.00726963587271,1.5021043246866,1.47474728775313,1.21945775978785,2.18071855409836,1.05718136162006,1.42868773365477,0.76739581292189,0.780052602989393,0.827480838958535,1.0664495557377,0.980869528543877,1.80064287926712,1.02148575718419,0.762592556894889,0.665088275988429,0.748435510511088,0.596721956412729,1.16728977068467,1.2380036460945,1.69311961755063,1.57413421832208,1.72789414455159,0.42932187367406,1.37107799710704,1.96109975313404,1.46418656711668,1.54885791513983,1.20493064300868,1.63363251369335,1.79683341755063,0.985360546962391,0.704366939826423,1.33166269392478,1.11271724358727,0.576203312054002,0.821826638958534,0.80919725978785,1.05710995901639,1.46949560057859,1.05669398862102,1.18259643587271,2.2123997704918,1.26922421890068,1.16771570395371,0.413824690838958,0.770853016875602,1.56058727232401,1.6132556927676,1.09481398707811,1.13807626981678,2.39509756489875,1.81883895756991,1.94571212844745,1.27852901658631,1.5449577246866,1.60265026027001,0.757903528543877,0.898230794021215,0.531398096046287,1.10682309199614,0.337010783702989,2.38179661253616,1.44792490260366,1.5271772246866,0.9715859951784,0.828773989392478,1.38722263625844,1.36806416653809,1.30878976702025
IGR37_SKIN--malignant_melanoma,1.75499807743491,1.28612362237223,0.741923417936354,0.823241227965284,0.848579380617165,1.56397495776278,1.73268385014465,1.35747826885246,0.942399123818708,1.54011209739634,0.800187814079075,1.48554646730955,1.07708357492768,0.330806616007715,1.54445811918997,1.22747389199614,0.905408096817744,1.21107999189971,1.48164494464802,1.05947321407907,0.980089234136932,1.04589392121504,1.66034195699132,0.777991670973965,1.09583906460945,1.74904306904532,1.32520178746384,1.33513338717454,0.924563102025073,0.89183287174542,0.583500716972035,1.50778191533269,1.24852462719383,0.825852311764706,1.017898487946,1.09971060424301,0.568550343490839,1.52153112381871,1.44147902217936,1.23016738727097,1.43798499054966,1.83766104898746,1.48922263278688,1.30219777839923,1.38516987936355,1.2133773927676,0.866721205400193,0.813119314561234,1.62658310607522,0.998963498939248,1.49127275785921,0.694965091224687,1.09939972979749,1.84075820347155,0.879047744262295,0.0324624522661516,1.3341827828351,1.07254162121504,1.29434264474445,1.34733284513018,0.487010187270973,1.49667414464802,0.985227993442623,1.44548805419479,0.613776187270974,0.220227778688525,1.27103086538091,1.44969760771456,0.666124570491803,1.1509674975892,1.17679155004822,0.912113172034715,1.26510624763742,1.55894246200579,1.7670151876567,0.833125138669238,0.705262494117647,0.846140646287367,0.626810885342333,0.966363947348121,1.79309050646095,1.41677023760849,1.27219036152363,1.81019665101254,0.947490395371265,1.47821510298939,1.05702517839923,0.969863169527483,0.750798775313405,1.40219107550627,0.580575176084861,2.3492657876567,1.26573350163935,0.382025624879459,0.576273484763741,0.531074058244936,0.632901558148505,1.2275847051109,1.16626056219865,1.71867706981678,1.51696087405979,1.44999277425265,0.225289255544841,1.42796871841851,1.13067592189007,1.36577022960463,1.30903785920926,1.6671302756027,1.20315552526519,1.68742940790742,0.972871068177434,1.02702240077146,1.37906783760849,0.975631848216008,0.326218189103182,0.793579098939247,0.746446812343299,1.09573193105111,1.40933100173578,0.909902180038574,1.17607369189971,2.02035331340405,1.69787543780135,1.56333335824494,0.101175166248795,0.511051482642237,1.64749626991321,1.35374240298939,1.29069940848602,1.49380275294118,1.90910438167792,1.8351420954677,1.32318427213115,1.26132031648987,1.94562813934426,2.36870852835101,0.979417551687561,0.881127906846674,0.705111683317262,1.37097222217936,-0.017063973770493,1.6822392557377,1.06479351783992,1.65527275988428,1.07190709257473,0.733902576663451,1.27655263625844,1.37843374513018,1.16395278341369
A2058_SKIN--malignant_melanoma,2.26610887203471,2.01220024628737,0.921082646480232,0.927653902989392,1.06100197222758,1.4965943512054,1.35601040559306,1.04606761890068,1.19692905342334,1.95871445226615,0.694963773095468,1.04007789112825,1.06669392401157,0.387835883606557,1.61441438389585,1.22148245323047,0.953957837897782,1.4174640487946,1.10785389450338,1.04745695901639,1.59835823413693,1.04168372256509,1.34117033066538,1.02883478958534,1.72692755062681,1.63254001890068,1.60104565776278,1.18141618514947,0.966377803085825,0.944396238187079,0.803409442622952,1.26728437627772,1.78197295216972,0.853315184474446,1.20210488138862,0.795793909932497,0.572406807328833,1.36515772651881,1.54752343972999,1.30688074406943,1.01023267328833,1.53470269797493,1.30308766171649,1.12320771378978,1.2325550635487,1.19977075776278,1.16976511186114,0.817850789488911,1.83752632931533,0.983981758823529,2.0483637216972,0.883236267213115,1.09054004657666,2.05930845130183,1.21180793423337,0.367855204435872,1.25515192459016,1.22529856239151,1.09642858977821,1.46707431378978,0.77775885554484,1.10637186017358,0.987828883992286,1.70743396451302,0.636816806364513,0.177454090646094,1.05119092999036,1.23482327695275,0.754359022757956,1.34533022275796,1.16025468408872,0.935608143587271,1.04032223702989,1.28279758543877,1.94849278264224,1.11422334648023,1.23092001195757,1.34498690279653,0.875641644262295,0.973463542333656,1.3313678487946,1.36695226846673,1.37926056692382,2.1992839171649,1.01098742719383,1.19993052729026,0.821633706364514,0.825659848408872,0.628940052073289,1.30530830405014,1.31950079614272,1.75105985805207,0.975707771648989,0.679813463355834,0.875148105303761,1.13381384416586,0.793349661812922,1.31768096258438,1.1179882777242,1.56627803510125,1.29653245554484,1.70933960838959,0.385569929122469,1.28980544792671,1.20353645805207,1.16672527974928,1.12111678977821,1.3062412756027,1.20450958649952,1.53496141755063,1.12398759855352,0.999492475988429,1.10452053770492,1.11482809411765,0.395083886788814,0.693712404628736,1.07314520192864,1.06749567791707,1.06539569893925,0.792316816972035,1.15313803809065,2.37404811282546,1.15489707328833,1.11285985294118,0.275111690838958,0.640965077145612,1.50949052015429,1.53403102931533,1.10243409411765,1.64693312613308,2.66320608659595,1.95578010703954,1.68323805323047,1.10955222295082,1.64300915670203,2.06896404088717,1.21968088630665,1.03050979402122,0.459684785053038,1.38913229353905,0.427255178109931,2.58137010626808,1.26945707955641,1.22972289392478,1.1186459951784,0.939593913211186,1.12891036239151,1.01658065303761,1.21028363008679
IGR1_SKIN--malignant_melanoma,2.12379831899711,1.7256893195757,1.09285457126326,0.712107037994214,0.710448979942141,1.48147555564127,1.54197160713597,1.0793045051109,1.22402276412729,1.65309254484089,0.541002919672132,1.01550351793635,0.694241729218901,0.290304002217936,1.43346188775313,1.20194251012536,0.874453712536162,1.18211448852459,1.00545720115718,0.940870367888138,1.3528067780135,0.995137374445516,1.71666962719383,0.867078603471553,1.36198354484089,1.52625401890068,1.23277505650916,0.880252901157184,0.800965731726133,0.811322773384764,0.45858543635487,0.97097291533269,1.35300274484089,0.565612672902605,0.967751850530378,0.383981139922854,0.165678720540019,1.39777312671167,1.27163674831244,0.956435637994214,0.952779460173576,2.36105503934426,1.13312689701061,0.978473000192863,1.13805464117647,1.01424844966249,1.13213455737705,0.746436990067502,1.70489174927676,0.800401429508197,1.69768700472517,0.699300907039537,1.173770936162,1.87918320347155,0.697434995949856,0.289394961427193,1.26343595834137,1.33573856239151,1.08600536316297,1.27459548833173,1.11131044378013,1.11178179363549,0.829747266345227,1.51399098187078,0.464080215236259,0.20578737126326,1.17611188177435,1.14778273114754,0.821392084474446,0.720012784956605,0.766485643587271,0.943663645515912,0.904727793442622,1.47358401504339,1.80054110954677,0.556053575988428,1.25795041215043,0.93513353731919,0.605364463934426,0.824691337897782,1.34945018341369,1.49609988948891,0.980506194696239,1.85907926962392,0.826867316297012,1.00509320617165,0.957503395853423,1.12456485660559,0.448244138862103,1.07759471967213,1.13748960520733,1.89159426981678,0.871219431243973,0.376703927193828,0.398807304435874,0.993972538476372,0.757515140115718,0.850536075409836,0.82199137174542,1.68330405920926,1.12039795409836,1.4328037930569,0.295449970588236,1.00842180327869,1.4285938707811,1.0571110632594,1.11862221890068,0.972771572613307,0.594044937029894,1.70921299421408,1.45741266219865,1.16104502854388,0.878624877145612,1.05656216162006,0.394330655834138,0.602485767213115,1.06078105728062,1.14319621022179,0.876105051880425,0.997251747058824,0.965383597396336,2.23154254676953,0.91254037897782,1.52050457328833,0.172807338862103,0.843512775795564,1.40985564069431,1.40101653172613,1.2569794075217,1.90776790048216,2.13742482622951,1.57348734329797,1.75936454310511,0.779471206557377,1.48461115670203,2.15671700810029,0.782949561330762,1.03841279402122,0.339151901253616,1.27250386538091,0.0731000035679843,2.16680636277724,1.15630457955641,1.02615385679846,1.09063945805207,0.824785953712632,1.01662538167792,0.904872949566055,1.0192533292189
