id,brain
HS944T_SKIN--malignant_melanoma,0.695767542
MELHO_SKIN--malignant_melanoma,1.082519458
HT144_SKIN--malignant_melanoma,-1.688797273
SH4_SKIN--malignant_melanoma,-3.348075141
G361_SKIN--malignant_melanoma,-3.580305214
COLO679_SKIN--malignant_melanoma,-3.737145442
A375_SKIN--malignant_melanoma,-1.578497803
IGR37_SKIN--malignant_melanoma,0.065967663
A2058_SKIN--malignant_melanoma,0.948826466
IGR1_SKIN--malignant_melanoma,-3.069767836
A101D_SKIN--malignant_melanoma,-0.511520756
HS939T_SKIN--malignant_melanoma,0.088056411
RVH421_SKIN--malignant_melanoma,-3.830472953
HS852T_SKIN--malignant_melanoma,-3.62509536
SKMEL30_SKIN--malignant_melanoma,-3.788766207
COLO792_SKIN--malignant_melanoma,-3.956522167
LOXIMVI_SKIN--malignant_melanoma,-0.369424254
CHL1_SKIN--malignant_melanoma,-3.725475901
CJM_SKIN--malignant_melanoma,-3.484846683
WM983B_SKIN--malignant_melanoma,-1.504239955
COLO783_SKIN--malignant_melanoma,-3.791922639
MEWO_SKIN--malignant_melanoma,-0.688795799
K029AX_SKIN--malignant_melanoma,-0.682610126
MELJUSO_SKIN--malignant_melanoma,0.829906377
COLO800_SKIN--malignant_melanoma,0.04806219
IPC298_SKIN--malignant_melanoma,-1.764830989
WM88_SKIN--malignant_melanoma,-3.31808153
COLO741_SKIN--malignant_melanoma,-2.147481892
UACC257_SKIN--malignant_melanoma,-0.680713553
SKMEL5_SKIN--malignant_melanoma,0.589722852
SKMEL24_SKIN--malignant_melanoma,-0.757330354
WM793_SKIN--malignant_melanoma,-3.730609661
UACC62_SKIN--malignant_melanoma,-2.994645464
MALME3M_SKIN--malignant_melanoma,-1.696105698
MDAMB435S_SKIN--malignant_melanoma,-3.384779431
HS294T_SKIN--malignant_melanoma,-1.062977876
WM1799_SKIN--malignant_melanoma,-1.185834492
WM2664_SKIN--malignant_melanoma,-0.224060188
SKMEL2_SKIN--malignant_melanoma,-3.322172094
SKMEL3_SKIN--malignant_melanoma,-2.98419601
